ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3844,2.0204,72.042,173.958,2199.3037
3845,2.0356,72.3176,174.6824,2210.5605
3846,2.0472,72.5992,175.4008,2236.8838
3847,2.056,72.8864,176.1136,2260.3914
3848,2.064,73.1784,176.8216,2287.6194
3849,2.0794,73.4626,177.5374,2305.4338
3850,2.0826,73.7446,178.2554,2306.734
3851,2.0862,74.0272,178.9728,2312.1938
3852,2.0862,74.3098,179.6902,2312.1938
3853,2.0876,74.5918,180.4082,2313.838
3854,2.0884,74.8762,181.1238,2317.9978
3855,2.101,75.162,181.838,2338.3398
3856,2.1036,75.4452,182.5548,2338.3398
3857,2.1118,75.7278,183.2722,2352.7632
3858,2.1118,76.0104,183.9896,2352.7632
3859,2.1118,76.293,184.707,2352.7632
3860,2.1118,76.5756,185.4244,2352.7632
3861,2.1118,76.8582,186.1418,2352.7632
3862,2.1118,77.1408,186.8592,2352.7632
3863,2.1136,77.4236,187.5764,2355.6692
3864,2.121,77.7078,188.2922,2367.1091
3865,2.125,77.989,189.011,2369.7893
3866,2.135,78.2742,189.7258,2391.9182
3867,2.1358,78.5586,190.4414,2391.9182
3868,2.14,78.849,191.151,2411.808
3869,2.14,79.1394,191.8606,2411.808
3870,2.1406,79.4292,192.5708,2411.808
3871,2.141,79.7186,193.2814,2411.808
3872,2.1554,80.0126,193.9874,2439.4153
3873,2.1758,80.3064,194.6936,2469.5186
3874,2.1812,80.6028,195.3972,2481.1426
3875,2.1812,80.8992,196.1008,2481.1426
3876,2.1888,81.198,196.802,2492.7727
3877,2.1894,81.4962,197.5038,2492.7727
3878,2.1896,81.7942,198.2058,2492.7727
3879,2.19,82.0934,198.9066,2496.9326
3880,2.19,82.3926,199.6074,2496.9326
3881,2.2042,82.6904,200.3096,2530.4365
3882,2.2134,82.9904,201.0096,2547.0007
3883,2.2134,83.2904,201.7096,2547.0007
3884,2.2228,83.5934,202.4066,2576.0664
3885,2.223,83.8962,203.1038,2576.0664
3886,2.225,84.1982,203.8018,2578.5325
3887,2.2382,84.5054,204.4946,2613.643
3888,2.2382,84.8126,205.1874,2613.643
3889,2.2426,85.116,205.884,2614.423
3890,2.2452,85.4192,206.5808,2616.769
3891,2.2612,85.7284,207.2716,2658.5234
3892,2.263,86.0376,207.9624,2661.139
3893,2.263,86.3468,208.6532,2661.139
3894,2.2634,86.6556,209.3444,2661.139
3895,2.2684,86.9664,210.0336,2674.005
3896,2.2684,87.2772,210.7228,2674.005
3897,2.2846,87.5838,211.4162,2691.441
3898,2.2926,87.8854,212.1146,2696.9548
3899,2.2942,88.1854,212.8146,2696.9548
3900,2.2954,88.4842,213.5158,2696.9548
3901,2.2962,88.7832,214.2168,2698.9048
3902,2.2976,89.0848,214.9152,2706.2568
3903,2.2976,89.3864,215.6136,2706.2568
3904,2.2976,89.688,216.312,2706.2568
3905,2.298,89.9892,217.0108,2706.2568
3906,2.299,90.2922,217.7078,2712.82
3907,2.3112,90.602,218.398,2738.6333
3908,2.3172,90.9116,219.0884,2751.4272
3909,2.3408,91.2144,219.7856,2795.725
3910,2.3446,91.5134,220.4866,2795.725
3911,2.3452,91.8118,221.1882,2795.725
3912,2.3606,92.1164,221.8836,2828.8967
3913,2.3664,92.4182,222.5818,2832.7969
3914,2.3758,92.7228,223.2772,2853.418
